archetype,hazard_level,Mbar,Dbar,Ebar
scbf_3_iv,hz_9,6.8154936,10.097626,1.4023451
scbf_3_iv,hz_10,6.834064,9.51278,1.5024706
scbf_3_iv,hz_11,6.8520656,8.9487505,1.6082438
scbf_3_iv,hz_12,6.869478,8.409066,1.7190605
scbf_3_iv,hz_13,6.881556,8.040261,1.8007765
scbf_3_iv,hz_14,6.8950357,7.6361513,1.8964032
scbf_3_iv,hz_15,6.9093146,7.21924,2.00229
scbf_3_iv,hz_16,6.9198174,6.9213676,2.082835
scbf_3_iv,hz_17,6.9278564,6.699052,2.1458366
scbf_3_iv,hz_18,6.9422884,6.3132734,2.2616484
scbf_3_iv,hz_19,6.953464,6.0268965,2.3536625
scbf_3_iv,hz_20,6.962026,5.8149085,2.4256384
scbf_3_iv,hz_21,6.9694667,5.635903,2.4893599
scbf_3_iv,hz_22,6.982043,5.3441377,2.600037
scbf_3_iv,hz_23,6.991616,5.130843,2.6873903
scbf_3_iv,hz_24,6.999038,4.9704785,2.7574413
scbf_3_iv,hz_25,7.0048833,4.8471465,2.8143232
scbf_3_iv,hz_26,7.041996,4.118556,3.2311757
scbf_3_iv,hz_27,7.081721,3.4105175,3.9506047
scbf_3_iv,hz_28,7.0884423,3.2880888,4.160255
scbf_3_iv,hz_29,7.0902653,3.2534337,4.2291327
scbf_6_ii,hz_1,6.186371,41.159878,-0.3833517
scbf_6_ii,hz_2,6.513656,25.850988,0.04889513
scbf_6_ii,hz_3,6.6827655,20.493635,0.30477813
scbf_6_ii,hz_4,6.79181,17.082706,0.48776266
scbf_6_ii,hz_5,6.864257,14.675897,0.631182
scbf_6_ii,hz_6,6.9148703,12.891258,0.75393635
scbf_6_ii,hz_7,6.952431,11.504309,0.866255
scbf_6_ii,hz_8,6.984629,10.272626,0.98528177
scbf_6_ii,hz_9,7.005325,9.461424,1.0777917
scbf_6_ii,hz_10,7.0267487,8.60744,1.191865
scbf_6_ii,hz_11,7.041073,8.029502,1.2817616
scbf_6_ii,hz_12,7.053416,7.5277166,1.3704728
scbf_6_ii,hz_13,7.065764,7.022618,1.4722768
scbf_6_ii,hz_14,7.073994,6.6842766,1.5490673
scbf_6_ii,hz_15,7.081185,6.3874383,1.6232651
scbf_6_ii,hz_16,7.089806,6.029695,1.7227705
scbf_6_ii,hz_17,7.095807,5.779001,1.800269
scbf_6_ii,hz_18,7.100209,5.5938916,1.862292
scbf_6_ii,hz_19,7.1052413,5.380559,1.9395643
scbf_6_ii,hz_20,7.1105337,5.1534333,2.0296707
scbf_6_ii,hz_21,7.114306,4.9891505,2.1006553
scbf_6_ii,hz_22,7.1170864,4.8663077,2.1573567
scbf_6_ii,hz_23,7.119192,4.7720737,2.2031765
scbf_6_ii,hz_24,7.1229305,4.6014447,2.2918704
scbf_6_ii,hz_25,7.1257725,4.4680157,2.3670235
scbf_6_ii,hz_26,7.1348715,4.001798,2.6819658
scbf_6_ii,hz_27,7.1423316,3.4697917,3.2117364
scbf_6_ii,hz_28,7.1435266,3.2123134,3.6166012
scbf_6_ii,hz_29,7.143305,3.1468186,3.7533872
scbf_6_iv,hz_1,6.186371,41.159878,-0.3833517
scbf_6_iv,hz_2,6.513656,25.850988,0.04889513
scbf_6_iv,hz_3,6.6827655,20.493635,0.30477813
scbf_6_iv,hz_4,6.79181,17.082706,0.48776266
scbf_6_iv,hz_5,6.864257,14.675897,0.631182
scbf_6_iv,hz_6,6.9148703,12.891258,0.75393635
scbf_6_iv,hz_7,6.952431,11.504309,0.866255
scbf_6_iv,hz_8,6.984629,10.272626,0.98528177
scbf_6_iv,hz_9,7.005325,9.461424,1.0777917
scbf_6_iv,hz_10,7.0267487,8.60744,1.191865
scbf_6_iv,hz_11,7.041073,8.029502,1.2817616
scbf_6_iv,hz_12,7.053416,7.5277166,1.3704728
scbf_6_iv,hz_13,7.065764,7.022618,1.4722768
scbf_6_iv,hz_14,7.073994,6.6842766,1.5490673
scbf_6_iv,hz_15,7.081185,6.3874383,1.6232651
scbf_6_iv,hz_16,7.089806,6.029695,1.7227705
scbf_6_iv,hz_17,7.095807,5.779001,1.800269
scbf_6_iv,hz_18,7.100209,5.5938916,1.862292
scbf_6_iv,hz_19,7.1052413,5.380559,1.9395643
scbf_6_iv,hz_20,7.1105337,5.1534333,2.0296707
scbf_6_iv,hz_21,7.114306,4.9891505,2.1006553
scbf_6_iv,hz_22,7.1170864,4.8663077,2.1573567
scbf_6_iv,hz_23,7.119192,4.7720737,2.2031765
scbf_6_iv,hz_24,7.1229305,4.6014447,2.2918704
scbf_6_iv,hz_25,7.1257725,4.4680157,2.3670235
scbf_6_iv,hz_26,7.1348715,4.001798,2.6819658
scbf_6_iv,hz_27,7.1423316,3.4697917,3.2117364
scbf_6_iv,hz_28,7.1435266,3.2123134,3.6166012
scbf_6_iv,hz_29,7.143305,3.1468186,3.7533872
scbf_9_ii,hz_1,6.247858,45.136467,-0.3565718
scbf_9_ii,hz_2,6.601211,28.22232,0.0051185405
scbf_9_ii,hz_3,6.782385,21.991953,0.22856997
scbf_9_ii,hz_4,6.890027,18.211988,0.38277256
scbf_9_ii,hz_5,6.9627876,15.372036,0.5128593
scbf_9_ii,hz_6,7.009892,13.321918,0.62350655
scbf_9_ii,hz_7,7.0471525,11.54277,0.740758
scbf_9_ii,hz_8,7.0727534,10.22772,0.8480374
scbf_9_ii,hz_9,7.090749,9.257493,0.94404024
scbf_9_ii,hz_10,7.1066875,8.36997,1.0496627
scbf_9_ii,hz_11,7.1179605,7.7302175,1.1401514
scbf_9_ii,hz_12,7.127195,7.2020497,1.2268682
scbf_9_ii,hz_13,7.136213,6.6862597,1.325154
scbf_9_ii,hz_14,7.1422005,6.3457866,1.3993614
scbf_9_ii,hz_15,7.147895,6.0249395,1.477768
scbf_9_ii,hz_16,7.153868,5.6929297,1.5695709
scbf_9_ii,hz_17,7.158085,5.4621444,1.6412101
scbf_9_ii,hz_18,7.161218,5.292929,1.6986259
scbf_9_ii,hz_19,7.1654243,5.069137,1.7820885
scbf_9_ii,hz_20,7.1691117,4.876243,1.8622073
scbf_9_ii,hz_21,7.1718063,4.737295,1.9255123
scbf_9_ii,hz_22,7.1738334,4.633797,1.976195
scbf_9_ii,hz_23,7.175699,4.5392447,2.0254729
scbf_9_ii,hz_24,7.1785917,4.393816,2.1076055
scbf_9_ii,hz_25,7.180726,4.287048,2.1735487
scbf_9_ii,hz_26,7.1880426,3.9156141,2.453019
scbf_9_ii,hz_27,7.1943254,3.500424,2.9211051
scbf_9_ii,hz_28,7.193978,3.294119,3.276066
scbf_9_ii,hz_29,7.188404,3.1357424,3.6610725
scbf_9_iv,hz_1,6.247858,45.136467,-0.3565718
scbf_9_iv,hz_2,6.601211,28.22232,0.0051185405
scbf_9_iv,hz_3,6.782385,21.991953,0.22856997
scbf_9_iv,hz_4,6.890027,18.211988,0.38277256
scbf_9_iv,hz_5,6.9627876,15.372036,0.5128593
scbf_9_iv,hz_6,7.009892,13.321918,0.62350655
scbf_9_iv,hz_7,7.0471525,11.54277,0.740758
scbf_9_iv,hz_8,7.0727534,10.22772,0.8480374
scbf_9_iv,hz_9,7.090749,9.257493,0.94404024
scbf_9_iv,hz_10,7.1066875,8.36997,1.0496627
scbf_9_iv,hz_11,7.1179605,7.7302175,1.1401514
scbf_9_iv,hz_12,7.127195,7.2020497,1.2268682
scbf_9_iv,hz_13,7.136213,6.6862597,1.325154
scbf_9_iv,hz_14,7.1422005,6.3457866,1.3993614
scbf_9_iv,hz_15,7.147895,6.0249395,1.477768
scbf_9_iv,hz_16,7.153868,5.6929297,1.5695709
scbf_9_iv,hz_17,7.158085,5.4621444,1.6412101
scbf_9_iv,hz_18,7.161218,5.292929,1.6986259
scbf_9_iv,hz_19,7.1654243,5.069137,1.7820885
scbf_9_iv,hz_20,7.1691117,4.876243,1.8622073
scbf_9_iv,hz_21,7.1718063,4.737295,1.9255123
scbf_9_iv,hz_22,7.1738334,4.633797,1.976195
scbf_9_iv,hz_23,7.175699,4.5392447,2.0254729
scbf_9_iv,hz_24,7.1785917,4.393816,2.1076055
scbf_9_iv,hz_25,7.180726,4.287048,2.1735487
scbf_9_iv,hz_26,7.1880426,3.9156141,2.453019
scbf_9_iv,hz_27,7.1943254,3.500424,2.9211051
scbf_9_iv,hz_28,7.193978,3.294119,3.276066
scbf_9_iv,hz_29,7.188404,3.1357424,3.6610725
brbf_3_ii,hz_1,6.186371,41.159878,-0.3833517
brbf_3_ii,hz_2,6.513656,25.850988,0.04889513
brbf_3_ii,hz_3,6.6827655,20.493635,0.30477813
brbf_3_ii,hz_4,6.79181,17.082706,0.48776266
brbf_3_ii,hz_5,6.864257,14.675897,0.631182
brbf_3_ii,hz_6,6.9148703,12.891258,0.75393635
brbf_3_ii,hz_7,6.952431,11.504309,0.866255
brbf_3_ii,hz_8,6.984629,10.272626,0.98528177
brbf_3_ii,hz_9,7.005325,9.461424,1.0777917
brbf_3_ii,hz_10,7.0267487,8.60744,1.191865
brbf_3_ii,hz_11,7.041073,8.029502,1.2817616
brbf_3_ii,hz_12,7.053416,7.5277166,1.3704728
