,Tcond,M_bar,Rjb,eps_bar,Vs30,outputDir,outputFile,code,hazard_level
130,1.5,7.2332697,5.7812986,1.3608731,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_15.txt,smrf_9_ii,15
131,1.5,7.236341,5.4878407,1.4420278,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_16.txt,smrf_9_ii,16
132,1.5,7.2396483,5.2020817,1.5312505,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_17.txt,smrf_9_ii,17
133,1.5,7.242226,5.0003023,1.6017033,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_18.txt,smrf_9_ii,18
134,1.5,7.244228,4.855612,1.6567795,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_19.txt,smrf_9_ii,19
135,1.5,7.2474575,4.642721,1.7460879,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_20.txt,smrf_9_ii,20
136,1.5,7.25011,4.485285,1.8197113,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_21.txt,smrf_9_ii,21
137,1.5,7.2522087,4.3708754,1.8780587,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_22.txt,smrf_9_ii,22
138,1.5,7.2538924,4.2850523,1.9249212,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_23.txt,smrf_9_ii,23
139,1.5,7.2562323,4.174002,1.9900684,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_24.txt,smrf_9_ii,24
140,1.5,7.258819,4.061382,2.0621467,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_25.txt,smrf_9_ii,25
141,1.5,7.268719,3.7118251,2.3386948,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_26.txt,smrf_9_ii,26
142,1.5,7.28474,3.338147,2.7930057,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_27.txt,smrf_9_ii,27
143,1.5,7.296025,3.1648357,3.1250556,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_28.txt,smrf_9_ii,28
144,1.5,7.3073153,3.0385213,3.4765227,260.0,extra/structural_analysis/results/site_hazard/smrf_9_ii/,required_records_hz_29.txt,smrf_9_ii,29
145,1.0,6.2840405,47.616203,-0.38530666,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_1.txt,smrf_9_iv,1
146,1.0,6.6582394,29.656725,-0.06127134,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_2.txt,smrf_9_iv,2
147,1.0,6.8488994,22.78023,0.14843123,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_3.txt,smrf_9_iv,3
148,1.0,6.9565387,18.671396,0.29436272,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_4.txt,smrf_9_iv,4
149,1.0,7.025145,15.629733,0.41778794,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_5.txt,smrf_9_iv,5
150,1.0,7.0697284,13.317596,0.53073955,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_6.txt,smrf_9_iv,6
151,1.0,7.101468,11.430103,0.6460646,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_7.txt,smrf_9_iv,7
152,1.0,7.1229367,10.010144,0.7556245,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_8.txt,smrf_9_iv,8
153,1.0,7.1369057,9.020727,0.8495902,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_9.txt,smrf_9_iv,9
154,1.0,7.1500278,8.051598,0.9620279,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_10.txt,smrf_9_iv,10
155,1.0,7.158171,7.4388885,1.04748,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_11.txt,smrf_9_iv,11
156,1.0,7.166499,6.813265,1.150438,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_12.txt,smrf_9_iv,12
